X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8575649.5837442,4717823.67471508,11001602_11058482,11001602,8152.22900391,16TH ST NW & MAIN DR NW,13,e7054e290973a32b8cd8012e59ac0b1e,5108,,4372075
-8573245.88465411,4708125.5817156,11064282_11064672,11064282,1534.7409668,NEW JERSEY AVE NW & NEW YORK AVE NW,13,1f08a872dff38b0360fbbc7d94ec6b4c,3045,,4372081
-8570756.66664897,4710568.40411886,12001002_12018722_12075462,12018722,447.95800781,BRYANT ST NE & 10TH ST NE & RHODE ISLAND AVE NE,13,4fd3baae3215db1e75119a498d394bd7,3186,,4372105
-8572608.58694716,4708902.84560383,11036722_12036722_15065322,12036722,0,FLORIDA AVE NE & FLORIDA AVE NW & NORTH CAPITOL ST BN,13,879314a7991a6047f34407e379ba1e9e,3037,,4372110
-8574978.58418348,4707355.68277508,11042442_11064672,11042442,1943.95300293,H ST NW & NEW YORK AVE NW,13,d1d95452db0f5bf677473cff8353670a,2135a,,4372111
-8575629.15666232,4708378.81640788,11059602_11078712*1,11078712,67.84100342,SCOTT CIR NW & MASSACHUSETTS AVE NW,13,df6a406d2e5ef8013697ba164f4d19ff,1059a,,4372114
-8571040.67093784,4705096.56957193,13000802_13069812,13069812,834.58001709,PENNSYLVANIA AVE SE & 8TH ST SE,13,34f15beb8ac251d82eb5f74cd211c737,4028,,4372126
-8570299.53127754,4707387.42833772,12001302_12042442,12001302,1158.14697266,13TH ST NE & H ST NE,13,1a0f746ff9415ac89fdf964a5367254e,3105,,4372128
-8574457.06166151,4710919.35158624,11034582_11080082,11034582,359.60598755,FAIRMONT ST NW & SHERMAN AVE NW,13,70f24c9924395b690a4129b0aaccbcd8,5170,,4372139
-8577038.66475851,4706981.00172094,11002202_11034382,11002202,256.27700806,22ND ST NW & F ST NW,13,96c6349102c07ecbf132ca2a83827478,1360,,4372150
-8574611.80003554,4711185.56160599,11001102_11043742,11043742,581.25701904,HARVARD ST NW & 11TH ST NW,13,958129b9eca3aaf92ad09f3c39ee9a56,5026,,4372151
